col0	No	種類	地域	市区町村コード	都道府県名	市区町村名	地区名	最寄駅：名称	最寄駅：距離（分）	取引価格（総額）	坪単価	間取り	面積（㎡）	取引価格（㎡単価）	土地の形状	間口	延床面積（㎡）	建築年	建物の構造	用途	今後の利用目的	前面道路：方位	前面道路：種類	前面道路：幅員（ｍ）	都市計画	建ぺい率（％）	容積率（％）	取引時点	改装	取引の事情等
4833	4834	宅地(土地)	住宅地	13112	東京都	世田谷区	東玉川	雪が谷大塚	6	73000000	2000000.0		125	590000.0	ほぼ台形	17.0					住宅	北西	区道	5.4	第１種低層住居専用地域	50.0	100.0	2021年第３四半期		
4837	4838	宅地(土地)	住宅地	13112	東京都	世田谷区	深沢	尾山台	16	45000000	2200000.0		65	660000.0	ほぼ長方形	6.6					住宅	南東	道路	3.9	第１種中高層住居専用地域	60.0	200.0	2021年第３四半期		
4842	4843	宅地(土地)	住宅地	13112	東京都	世田谷区	深沢	駒沢大学	19	600000000	2000000.0		1000	590000.0	ほぼ長方形	37.0						東	区道	11.0	第１種低層住居専用地域	50.0	100.0	2021年第４四半期		
4847	4848	宅地(土地)	住宅地	13112	東京都	世田谷区	深沢	桜新町	10	150000000	2200000.0		230	660000.0	袋地等	3.0					住宅	北西	区道	5.2	第１種低層住居専用地域	50.0	100.0	2021年第３四半期		
4849	4850	宅地(土地)	住宅地	13112	東京都	世田谷区	深沢	自由が丘(東京)	16	30000000	1300000.0		75	390000.0	ほぼ長方形	9.0					住宅	南	区道	5.9	第１種低層住居専用地域	50.0	100.0	2021年第４四半期		
4851	4852	宅地(土地)	住宅地	13116	東京都	豊島区	巣鴨	西巣鴨	6	96000000	2200000.0		140	680000.0	台形							北西	私道	2.7	第１種住居地域	60.0	400.0	2021年第３四半期		私道を含む取引
4865	4866	宅地(土地)	住宅地	13112	東京都	世田谷区	船橋	千歳船橋	11	98000000	1500000.0		210	460000.0	ほぼ長方形	11.9					住宅	南東	区道	6.8	第１種低層住居専用地域	50.0	100.0	2021年第３四半期		
4866	4867	宅地(土地)	住宅地	13112	東京都	世田谷区	船橋	千歳船橋	14	70000000	2000000.0		115	610000.0	長方形	11.0					住宅	東	区道	3.8	第１種低層住居専用地域	50.0	100.0	2021年第３四半期		
4882	4883	宅地(土地)	住宅地	13116	東京都	豊島区	高松	要町	9	73000000	2700000.0		90	810000.0	ほぼ長方形	5.4					住宅	南東	区道	6.2	第１種中高層住居専用地域	60.0	200.0	2021年第３四半期		
4901	4902	宅地(土地)	住宅地	13112	東京都	世田谷区	三宿	三軒茶屋	9	170000000	1400000.0		390	430000.0	ほぼ長方形	12.0						西	区道	8.4	第１種住居地域	60.0	200.0	2021年第３四半期		
4905	4906	宅地(土地)	住宅地	13112	東京都	世田谷区	南烏山	千歳烏山	4	60000000	1700000.0		120	510000.0	袋地等	2.5					住宅	北西	区道	6.0	第１種低層住居専用地域	50.0	150.0	2021年第３四半期		
4931	4932	宅地(土地)	住宅地	13116	東京都	豊島区	西巣鴨	西巣鴨	5	73000000	3500000.0		70	1100000.0	長方形	6.9					住宅	東	区道	5.6	第１種中高層住居専用地域	60.0	300.0	2021年第３四半期		
4932	4933	宅地(土地)	住宅地	13116	東京都	豊島区	西巣鴨	西巣鴨	5	110000000	3500000.0		105	1100000.0	台形	10.2					住宅	北	区道	13.3	第１種中高層住居専用地域	60.0	300.0	2021年第３四半期		
4942	4943	宅地(土地)	住宅地	13112	東京都	世田谷区	用賀	用賀	9	120000000	1800000.0		210	560000.0	ほぼ長方形	13.5					住宅	北西	区道	8.0	第１種低層住居専用地域	50.0	100.0	2021年第３四半期		関係者間取引
