"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
9799,"中古マンション等","","13203","東京都","武蔵野市","中町","三鷹","3",7500000,"","１Ｋ","15",,"","","","昭和59年","ＲＣ","住宅","住宅","","",,"近隣商業地域",80,300,"2021年第４四半期","改装済",""
9800,"中古マンション等","","13203","東京都","武蔵野市","中町","三鷹","2",51000000,"","２ＬＤＫ","55",,"","","","平成19年","ＲＣ","住宅","住宅","","",,"商業地域",80,600,"2021年第４四半期","未改装",""
9801,"中古マンション等","","13203","東京都","武蔵野市","中町","三鷹","5",18000000,"","１Ｋ","20",,"","","","","","住宅","住宅","","",,"",,,"2021年第４四半期","未改装",""
9802,"中古マンション等","","13203","東京都","武蔵野市","中町","三鷹","2",160000000,"","３ＬＤＫ","100",,"","","","平成22年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,600,"2021年第４四半期","未改装",""
9803,"中古マンション等","","13203","東京都","武蔵野市","中町","三鷹","14",57000000,"","３ＬＤＫ","70",,"","","","昭和57年","ＲＣ","住宅","住宅","","",,"近隣商業地域",80,300,"2021年第４四半期","改装済",""
9804,"中古マンション等","","13203","東京都","武蔵野市","中町","三鷹","2",54000000,"","１ＬＤＫ","55",,"","","","平成19年","ＲＣ","住宅","その他","","",,"商業地域",80,600,"2021年第３四半期","未改装",""
9805,"中古マンション等","","13203","東京都","武蔵野市","中町","三鷹","4",49000000,"","１ＬＤＫ","35",,"","","","平成31年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,200,"2021年第３四半期","未改装",""
9806,"中古マンション等","","13203","東京都","武蔵野市","中町","三鷹","4",51000000,"","１ＬＤＫ","35",,"","","","平成31年","ＲＣ","","住宅","","",,"第１種中高層住居専用地域",60,200,"2021年第３四半期","",""
9807,"中古マンション等","","13203","東京都","武蔵野市","中町","三鷹","13",20000000,"","１ＬＤＫ","40",,"","","","昭和43年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2021年第３四半期","",""
9808,"中古マンション等","","13203","東京都","武蔵野市","中町","三鷹","6",20000000,"","１Ｋ","20",,"","","","","","住宅","住宅","","",,"",,,"2021年第３四半期","未改装",""
9809,"中古マンション等","","13203","東京都","武蔵野市","中町","三鷹","7",94000000,"","３ＬＤＫ","80",,"","","","平成27年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2021年第３四半期","未改装",""
9810,"中古マンション等","","13214","東京都","国分寺市","泉町","西国分寺","1",45000000,"","３ＬＤＫ","85",,"","","","平成2年","","","住宅","","",,"商業地域",80,400,"2021年第３四半期","未改装",""
9811,"中古マンション等","","13214","東京都","国分寺市","泉町","西国分寺","9",56000000,"","","65",,"","","","平成24年","ＲＣ","","住宅","","",,"第１種住居地域",60,200,"2021年第３四半期","",""
9812,"宅地(土地と建物)","住宅地","13214","東京都","国分寺市","新町","国立","25",41000000,"","","110",,"長方形","7.0","90","令和3年","木造","住宅","住宅","東","市道",4.0,"第１種低層住居専用地域",50,100,"2021年第３四半期","",""
9813,"宅地(土地)","住宅地","13214","東京都","国分寺市","新町","恋ケ窪","19",31000000,"770000","","130",230000,"長方形","7.8","","","","","住宅","東","市道",5.5,"第１種低層住居専用地域",40,80,"2021年第３四半期","",""
